N;Airport;Flights;%vs2021;%vs2019;Passengers;%vs2021;%vs2019;Cargo_tons;%vs2021;%vs2019
1;Alghero;12592;45,0;15,1;1533427;68,8;10,3;4;-60,3;28,3
2;Ancona;10791;20,4;-7,3;467622;93,8;-4,5;7592;10,1;8,1
3;Bari;51838;57,4;13,0;6205461;88,7;11,9;2430;1,2;6,9
4;Bergamo;88846;71,3;-6,8;13155806;103,4;-5,1;20827;-20,0;-82,5
5;Bologna;70871;66,8;-8,1;8496000;107,0;-9,7;58605;16,9;20,0
6;Bolzano;15930;15,2;20,4;66179;236,5;513,9;n/a;n/a;n/a
7;Brescia;13224;7,2;20,7;7245;32,8;-57,4;38947;-1,7;26,9
8;Brindisi;25563;52,3;16,7;3065962;65,4;13,6;71;294,4;545,5
9;Cagliari;37740;33,4;-4,9;4396594;59,6;-7,4;6767;1,1;59,1
10;Catania;72505;43,8;-3,4;10099441;64,9;-1,2;9337;22,8;62,4
11;Comiso;3320;19,2;11,2;364735;82,9;3,9;0;n/a;n/a
12;Crotone;1165;53,1;3,8;170898;79,0;0,7;0;n/a;n/a
13;Cuneo;3594;-7,0;-18,9;160189;95,9;73,4;0;n/a;n/a
14;Firenze;31234;93,1;-13,6;2228999;166,0;-22,4;140;29,8;-21,5
15;Foggia;663;177,4;-4,3;7049;9970,0;1721,4;0;n/a;n/a
16;Forli;1922;45,4;n/a;94610;217,3;n/a;0;n/a;n/a
17;Genova;16064;24,4;-22,2;1222888;99,0;-20,4;1099;24,4;-59,2
18;Grosseto;2288;23,3;45,8;5511;67,2;81,6;0;n/a;n/a
19;Lamezia Terme;23374;23,7;-8,1;2622535;53,7;-11,9;2227;17,1;79,6
20;Lampedusa;6552;-5,8;7,6;328576;15,3;18,6;11;-31,3;-40,8
21;Milano Linate;101956;51,3;18,9;7719977;77,6;17,5;2353;24,9;-69,0
22;Milano Malpensa;186626;57,7;-20,3;21347652;121,9;-26,0;721255;-3,5;29,1
23;Napoli;83956;85,2;1,7;10918234;135,5;0,5;12222;6,6;4,0
24;Olbia;40125;23,2;17,7;3167368;52,2;6,3;734;391,6;684,8
25;Palermo;55885;35,3;3,0;7117822;55,5;1,4;2321;-24,6;99,1
26;Parma;4695;-7,5;11,0;116720;20,9;55,6;5;-55,4;-80,7
27;Perugia;5523;50,9;43,5;369222;154,7;68,5;0;n/a;n/a
28;Pescara;13719;12,5;6,5;715690;87,7;1,7;7;-66,7;-97,5
29;Pisa;37659;61,0;-12,0;4493847;124,8;-16,6;14767;-3,2;13,5
30;Reggio Calabria;4150;21,5;-25,8;202386;37,1;-44,6;26;254,3;-10,1
31;Rimini;3259;34,8;-32,6;214851;222,0;-45,6;29;n/a;546,9
32;Roma Ciampino;42317;13,7;-19,0;3475902;49,4;-40,9;14777;-9,2;-19,9
33;Roma Fiumicino;212503;86,5;-31,4;29360613;151,7;-32,6;140604;38,8;-27,7
34;Salerno;275;-73,9;n/a;0;n/a;n/a;0;n/a;n/a
35;Taranto-Grottaglie;913;2,1;-9,6;1083;10,1;20,5;908;-39,2;-88,0
36;Torino;42641;57,2;-2,3;4193371;103,0;6,1;949;-46,9;-71,5
37;Trapani;8918;47,0;67,2;891670;108,4;116,7;0;n/a;n/a
38;Treviso;21766;56,7;-9,7;2635172;115,7;-19,0;9;-49,5;n/a
39;Trieste;8217;48,0;-40,5;698613;100,2;-10,8;240;373,0;-13,2
40;Venezia;79171;102,1;-16,9;9319156;171,1;-19,4;47585;7,6;-25,6
41;Verona;25047;62,9;-24,4;2982060;104,4;-18,0;653;-70,1;-43,4

